Site/Division,Jira Ticket #,State,Name,Notes,Merge,Legacy URL,New URL,Page Title
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/5f656633-7915-417b-bcff-179bc3de729f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/f9dd5dc8-4a3e-4a4c-b825-3a3a3bdb08ee,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/03b6e037-02e5-43aa-8de9-f0abc3b38587,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/9dd92a60-5681-4d4b-80db-fa363ede5952,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a9617260-aca3-45fa-b187-d49c6b902964,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a28223f5-a6c3-4d24-90cf-9a1c6a7b52b8,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/fc5f8014-8af4-4f5d-9ef1-ef42054c089f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/aaa5c90d-e32f-451b-8441-c4cd8da05c63,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/3879216d-60ed-49f2-8599-0d00b4966cd6,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ff716f7a-7fe8-4383-ac0f-854e03cfe249,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/63d874e5-6884-4873-ac1e-02ebf24b1dc1,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/56d1cc8b-34ef-4107-9262-d2a38504d9a1,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/78792570-dc26-4ef0-ac0a-f922e047c5d4,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ab460d0c-0c02-463d-ac4c-69c3d30b1436,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ba2c1dee-9e57-4473-8b80-0bf486925fb4,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/68b05f22-0d87-4872-9133-84a8b0c6caad,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/dad066af-a870-4489-a713-fa6d3c33c3f3,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/5f4fbc8a-89b6-4631-94cb-874812d284b2,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/d7afe88a-7e40-48b9-b642-03271e0708da,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/104a6daa-c628-4c8e-b9dd-a02fe74d68b9,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ba299d94-d1b9-42c6-9a01-68f96b59ba72,,DCI News
